All,Stagione,Giorno,Mese,Specialita,PosizionediPartenza,PosizioneSecondaManche,PosizioneFinale,Tempo,Distacco,Paese,Pista,Altitudine,Punteggio,Latitudine,Longitudine
249,22_23,19,3,Slalom Gigante,1,1,1,01:56:28,-0.06,Andorra,Soldeu,2500,100,43,2
248,22_23,18,3,Slalom Speciale,2,4,3,01:52:24,0.86,Andorra,Soldeu,2250,60,43,2
247,22_23,16,3,SuperG,12,NA,14,01:28:16,1.46,Andorra,Soldeu,2550,18,43,2
246,22_23,11,3,Slalom Speciale,5,1,1,01:42:17,-0.92,Svezia,Are,630,100,63,13
245,22_23,10,3,Slalom Gigante,7,1,1,01:55:04,-0.64,Svezia,Are,730,100,63,13
244,22_23,5,3,SuperG,7,NA,7,01:30:00,0.98,Norvegia,Kvitfjell,1030,100,59,9
243,22_23,4,3,Discesa Libera,4,NA,5,01:33:15,0.79,Norvegia,Kvitfjell,1030,36,59,9
242,22_23,3,3,SuperG,4,NA,4,01:27:09,0.29,Norvegia,Kvitfjell,1030,45,59,9
241,22_23,29,1,Slalom Speciale,6,1,2,01:31:37,0.06,Repubblica Ceca,Spindleruv Mlyn,1250,100,51,16
240,22_23,28,1,Slalom Speciale,2,1,1,01:34:25,-0.6,Repubblica Ceca,Spindleruv Mlyn,1250,100,51,16
239,22_23,25,1,Slalom Gigante,4,1,1,02:03:28,-0.82,Italia,Kronplatz,2275,100,47,12
238,22_23,24,1,Slalom Gigante,4,1,1,02:01:01,-0.45,Italia,Kronplatz,2300,100,47,12
237,22_23,22,1,SuperG,6,NA,7,01:24:24,0.62,Italia,Cortina,2348,36,44,12
236,22_23,21,1,Discesa Libera,18,NA,7,01:05:12,0.39,Italia,Cortina,2350,36,44,12
235,22_23,20,1,Discesa Libera,21,NA,4,01:34:37,0.5,Italia,Cortina,2350,50,44,12
234,22_23,10,1,Slalom Speciale,1,2,2,01:52:38,0.43,Austria,Flachau,1100,80,47,13
233,22_23,8,1,Slalom Gigante,1,1,1,01:52:53,0.77,Slovenia,Kranjska Gora,1100,100,46,14
232,22_23,7,1,Slalom Gigante,2,5,6,01:56:04,1.33,Slovenia,Kranjska Gora,1200,40,46,14
231,22_23,4,1,Slalom Speciale,7,1,1,01:36:42,-0.76,Croazia,Zagabria,1030,100,46,16
230,22_23,29,12,Slalom Speciale,6,1,1,01:43:26,-0.29,Austria,Semmering,1200,100,47,16
229,22_23,28,12,Slalom Gigante,7,2,1,02:03:51,-0.1,Austria,Semmering,1100,100,47,16
228,22_23,27,12,Slalom Gigante,1,1,1,02:07:18,-0.13,Austria,Semmering,1250,100,47,16
227,22_23,18,12,SuperG,7,NA,1,01:14:02,-0.12,Svizzera,Sankt Moritz,2700,100,46,10
226,22_23,17,12,Discesa Libera,21,NA,4,01:29:46,0.61,Svizzera,Sankt Moritz,2600,50,46,10
225,22_23,16,12,Discesa Libera,22,NA,6,01:11:03,1.23,Svizzera,Sankt Moritz,2900,40,46,10
224,22_23,11,12,Slalom Speciale,6,3,2,01:57:16,0.47,Italia,Sestriere,2350,80,45,7
223,22_23,10,12,Slalom Gigante,3,4,6,01:13:14,1.96,Italia,Sestriere,2400,40,45,7
222,22_23,27,11,Slalom Speciale,2,1,5,01:43:56,0.59,Stati Uniti,Killington,1400,45,44,-72
221,22_23,26,11,Slalom Gigante,5,10,13,01:45:48,1.4,Stati Uniti,Killington,1300,20,44,-72
220,22_23,20,11,Slalom Speciale,2,1,1,01:52:21,-0.28,Finlandia,Levi,580,100,68,25
